2025/11/20 02:02:03 [warn] 191#191: 512 worker_connections are not enough, reusing connections
2025/11/20 02:02:03 [warn] 190#190: 512 worker_connections are not enough, reusing connections
2025/11/20 02:02:03 [alert] 191#191: 512 worker_connections are not enough
2025/11/20 02:02:03 [error] 190#190: *1013 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "localhost", referrer: "http://localhost:36815/"
2025/11/20 02:02:19 [error] 190#190: *8 open() "/var/www/html/login" failed (2: No such file or directory), client: 172.20.0.1, server: localhost-nginx-proxy-manager, request: "GET /login HTTP/1.1", host: "localhost:36815"
2025/11/20 02:05:25 [error] 209#209: *1064 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/test" failed (2: No such file or directory), client: 74.179.86.179, server: localhost-nginx-proxy-manager, request: "HEAD /.well-known/acme-challenge/test HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:49 [error] 227#227: *1117 open() "/var/www/html/graphql" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "POST /graphql HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:49 [error] 227#227: *1115 open() "/var/www/html/graphql" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "POST /graphql HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:49 [error] 227#227: *1120 open() "/var/www/html/api" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "POST /api HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:49 [error] 227#227: *1121 open() "/var/www/html/api" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "POST /api HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:50 [error] 227#227: *1124 open() "/var/www/html/api/graphql" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "POST /api/graphql HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:50 [error] 227#227: *1126 open() "/var/www/html/api/graphql" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "POST /api/graphql HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:50 [error] 227#227: *1129 open() "/var/www/html/graphql/api" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "POST /graphql/api HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:50 [error] 227#227: *1130 open() "/var/www/html/graphql/api" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "POST /graphql/api HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:50 [error] 227#227: *1133 open() "/var/www/html/api/gql" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "POST /api/gql HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:50 [error] 227#227: *1135 open() "/var/www/html/api/gql" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "POST /api/gql HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:51 [error] 227#227: *1138 open() "/var/www/html/swagger-ui.html" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /swagger-ui.html HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:51 [error] 227#227: *1139 open() "/var/www/html/swagger-ui.html" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /swagger-ui.html HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:51 [error] 228#228: *1143 open() "/var/www/html/swagger/index.html" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /swagger/index.html HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:51 [error] 228#228: *1144 open() "/var/www/html/swagger/index.html" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /swagger/index.html HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:52 [error] 228#228: *1147 open() "/var/www/html/swagger/swagger-ui.html" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /swagger/swagger-ui.html HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:52 [error] 228#228: *1150 open() "/var/www/html/webjars/swagger-ui/index.html" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /webjars/swagger-ui/index.html HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:52 [error] 228#228: *1151 open() "/var/www/html/swagger/swagger-ui.html" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /swagger/swagger-ui.html HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:52 [error] 228#228: *1154 open() "/var/www/html/webjars/swagger-ui/index.html" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /webjars/swagger-ui/index.html HTTP/1.1", host: "deanhauser.me"
